source,task,variables,arm,qubits,longest,residual,p_solve,broken
broken_pre_p3.log,pegasus3-fill30-a3.0-23,28,minorminer,35,,0.251580925707545,0.054931640625,0.0677490234375
broken_pre_p3.log,pegasus3-fill30-a3.0-27,24,policy,59,5,0.143037288560778,0.128662109375,0.06705729166666667
broken_pre_p3.log,pegasus3-fill30-a3.0-27,24,pruned,42,4,0.14719887829701578,0.134765625,0.05767822265625
broken_pre_p3.log,pegasus3-fill30-a3.0-27,24,minorminer,30,,0.10005061998279667,0.193603515625,0.042429606119791664
broken_pre_p3.log,pegasus3-fill30-a3.0-11,25,policy,60,6,0.039243693524096526,0.49853515625,0.027236328125
broken_pre_p3.log,pegasus3-fill30-a3.0-11,25,pruned,28,2,0.011292827560240897,0.762939453125,0.03287109375
broken_pre_p3.log,pegasus3-fill30-a3.0-11,25,minorminer,26,,0.014733151355421508,0.68603515625,1.953125e-05
broken_pre_p3.log,pegasus3-fill30-a3.0-0,17,policy,42,5,0.042616962355907964,0.7421875,0.025304457720588234
broken_pre_p3.log,pegasus3-fill30-a3.0-0,17,pruned,26,4,0.01815787103746382,0.825439453125,0.012896369485294117
broken_pre_p3.log,pegasus3-fill30-a3.0-0,17,minorminer,18,,0.007896929034582192,0.88232421875,0.0
broken_pre_p3.log,pegasus3-fill30-a3.0-1,28,policy,55,5,0.11505007276348232,0.311279296875,0.05743408203125
broken_pre_p3.log,pegasus3-fill30-a3.0-1,28,pruned,36,3,0.04074276194852992,0.553955078125,0.03540910993303571
broken_pre_p3.log,pegasus3-fill30-a3.0-1,28,minorminer,29,,0.05228439031862805,0.536376953125,0.004481724330357143
broken_pre_p3.log,pegasus3-fill30-a3.0-2,29,policy,67,6,0.03388794163685178,0.567626953125,0.06440261314655173
broken_pre_p3.log,pegasus3-fill30-a3.0-2,29,pruned,38,3,0.020009922853309527,0.552001953125,0.07290544181034483
broken_pre_p3.log,pegasus3-fill30-a3.0-2,29,minorminer,30,,0.009003941189624167,0.736572265625,0.0005303744612068966
broken_clone_local.log,pegasus3-fill30-a3.0-22,32,policy,46,4,0.059328294836954676,0.2001953125,0.06103515625
broken_clone_local.log,pegasus3-fill30-a3.0-22,32,pruned,43,2,0.06955672554347615,0.143798828125,0.05823516845703125
broken_clone_local.log,pegasus3-fill30-a3.0-22,32,minorminer,33,,0.05244352921195484,0.1767578125,0.02210235595703125
broken_clone_local.log,pegasus3-fill30-a3.0-17,34,policy,69,6,0.08383527123452586,0.2568359375,0.04564711626838235
broken_clone_local.log,pegasus3-fill30-a3.0-17,34,pruned,66,6,0.09413686382393462,0.1796875,0.058579388786764705
broken_clone_local.log,pegasus3-fill30-a3.0-17,34,minorminer,39,,0.031560297025447055,0.304443359375,0.018669577205882353
broken_clone_local.log,pegasus3-fill30-a3.0-19,30,policy,55,5,0.1124344521933558,0.072998046875,0.10775553385416667
broken_clone_local.log,pegasus3-fill30-a3.0-19,30,pruned,49,5,0.10103845027683112,0.083984375,0.1043701171875
broken_clone_local.log,pegasus3-fill30-a3.0-19,30,minorminer,30,,0.03519617759795635,0.42138671875,0.0
broken_clone_local.log,pegasus3-fill30-a3.0-21,26,policy,85,10,0.1450000000000058,0.032958984375,0.06443434495192307
broken_clone_local.log,pegasus3-fill30-a3.0-21,26,pruned,48,6,0.16967633928571682,0.0107421875,0.07850060096153846
broken_clone_local.log,pegasus3-fill30-a3.0-21,26,minorminer,28,,0.12864769345237986,0.371337890625,0.029137244591346152
broken_clone_local.log,pegasus3-fill30-a3.0-25,32,policy,46,4,0.11054229736328168,0.16064453125,0.0427703857421875
broken_clone_local.log,pegasus3-fill30-a3.0-25,32,pruned,42,4,0.10204315185546922,0.162841796875,0.04334259033203125
broken_clone_local.log,pegasus3-fill30-a3.0-25,32,minorminer,33,,0.07026926676432278,0.2197265625,0.00791168212890625
broken_clone_local.log,pegasus3-fill30-a3.0-7,31,policy,43,4,0.04173987860130193,0.44921875,0.026075793850806453
broken_clone_local.log,pegasus3-fill30-a3.0-7,31,pruned,40,3,0.04638671875000098,0.44482421875,0.022941343245967742
broken_clone_local.log,pegasus3-fill30-a3.0-7,31,minorminer,35,,0.02587346073420041,0.476806640625,0.034817603326612906
broken_clone_local.log,pegasus3-fill30-a3.0-10,29,policy,46,3,0.1692370129870105,0.109375,0.07452182112068965
broken_clone_local.log,pegasus3-fill30-a3.0-10,29,pruned,43,3,0.16852135030148221,0.110107421875,0.07228246228448276
broken_clone_local.log,pegasus3-fill30-a3.0-10,29,minorminer,30,,0.10573327342300086,0.321533203125,0.029793574892241378
broken_clone_local.log,pegasus3-fill30-a3.0-5,34,policy,69,6,0.11676037150770797,0.05126953125,0.07424029181985294
broken_clone_local.log,pegasus3-fill30-a3.0-5,34,pruned,57,6,0.11087089053468296,0.06103515625,0.06504193474264706
broken_clone_local.log,pegasus3-fill30-a3.0-5,34,minorminer,35,,0.05976035645472258,0.190185546875,0.0002082375919117647
broken_clone_local.log,pegasus3-fill30-a3.0-26,33,policy,96,8,0.10779255479287222,0.09375,0.07219904119318182
broken_clone_local.log,pegasus3-fill30-a3.0-26,33,pruned,64,5,0.1433364191955687,0.02880859375,0.09470436789772728
broken_clone_local.log,pegasus3-fill30-a3.0-26,33,minorminer,41,,0.06194680274566626,0.23193359375,0.054524739583333336
broken_clone_local.log,pegasus3-fill30-a3.0-15,27,policy,44,8,0.05541055304740516,0.37939453125,0.015995732060185185
broken_clone_local.log,pegasus3-fill30-a3.0-15,27,pruned,39,7,0.054749224040633336,0.375732421875,0.016565393518518517
