source,task,depth,action,residual,is_policy_pick,is_measured_best,spread
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,25,188,0.04835979129662531,0,0,0.018885990230905855
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,25,250,0.03924289520426294,0,1,0.018885990230905855
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,25,372,0.04756882770870346,0,0,0.018885990230905855
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,38,12,0.045445714920071115,0,0,0.008270426287744229
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,38,38,0.04287855239786861,0,0,0.008270426287744229
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,38,39,0.03900699378330383,0,0,0.008270426287744229
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,38,96,0.037175288632326886,1,1,0.008270426287744229
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,40,38,0.04207371225577271,1,0,0.02134214031971572
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,40,39,0.03385879218472481,0,1,0.02134214031971572
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,40,47,0.05463199378330372,0,0,0.02134214031971572
branch_records_p3.jsonl,pegasus3-fill30-a3.0-178,40,99,0.05520093250444053,0,0,0.02134214031971572
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,22,2,0.13770338326446288,1,0,0.08094976756198348
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,22,14,0.09989992252066124,0,0,0.08094976756198348
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,22,35,0.08274147727272738,0,0,0.08094976756198348
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,22,72,0.0567536157024794,0,1,0.08094976756198348
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,34,30,0.09045712809917364,0,1,0.07473527892561974
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,34,138,0.11531508264462811,0,0,0.07473527892561974
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,34,139,0.10422585227272727,1,0,0.07473527892561974
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,34,240,0.16519240702479338,0,0,0.07473527892561974
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,52,1,0.09152246900826447,1,1,0.05978822314049595
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,52,8,0.12714682334710747,0,0,0.05978822314049595
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,52,56,0.15131069214876042,0,0,0.05978822314049595
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,52,122,0.09799522210743808,0,0,0.05978822314049595
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,56,20,0.07145854855371908,0,0,0.0210001291322314
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,56,25,0.07381521177685957,0,0,0.0210001291322314
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,56,69,0.09245867768595048,0,0,0.0210001291322314
branch_records_p3.jsonl,pegasus3-fill30-a3.0-146,56,81,0.07145854855371908,1,1,0.0210001291322314
