task_index,source,break_rate,length,internal_edges,redundancy,cut_vertices,logical_degree,coupling_mass,contacts,mass_per_contact,max_contact_load,load_concentration,field
0,policy1,0.04541015625,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,policy1,0.08203125,4.0,3.0,0.0,2.0,2.0,5.0,3.0,1.6666666666666667,2.1,1.183098591549296,0.0
0,policy1,0.02099609375,3.0,2.0,0.0,1.0,7.0,11.200000000000001,13.0,0.8615384615384616,2.6,2.2515463917525773,0.0
0,policy1,0.03173828125,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,policy1,0.01220703125,2.0,1.0,0.0,0.0,3.0,2.8000000000000003,6.0,0.46666666666666673,0.6000000000000001,1.2857142857142858,0.0
0,policy1,0.1162109375,6.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,policy1,0.0,1.0,0.0,0.0,0.0,2.0,6.2,3.0,2.066666666666667,3.5,1.4432989690721651,0.0
0,policy1,0.03857421875,2.0,1.0,0.0,0.0,3.0,3.5999999999999996,5.0,0.72,2.0,1.9565217391304346,0.0
0,policy1,0.0,1.0,0.0,0.0,0.0,3.0,7.799999999999999,3.0,2.5999999999999996,3.9,1.5,0.0
0,policy1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,policy1,0.0,1.0,0.0,0.0,0.0,3.0,6.6,6.0,1.0999999999999999,2.5,1.8442622950819674,0.0
0,policy1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,policy1,0.06298828125,2.0,1.0,0.0,0.0,2.0,5.0,5.0,1.0,3.9,1.8682634730538923,0.0
0,policy1,0.4072265625,12.0,15.0,4.0,4.0,3.0,5.0,9.0,0.5555555555555556,1.95,2.457983193277311,0.0
0,policy1,0.07373046875,3.0,2.0,0.0,1.0,4.0,8.6,10.0,0.86,1.45,1.5890410958904109,0.0
0,policy1,0.00830078125,2.0,1.0,0.0,0.0,2.0,2.8,5.0,0.5599999999999999,1.2,1.8,0.0
0,policy1,0.0302734375,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,policy1,0.0693359375,3.0,2.0,0.0,1.0,3.0,8.6,4.0,2.15,3.9,1.5194805194805197,0.0
0,policy1,0.0693359375,7.0,8.0,2.0,1.0,3.0,4.2,10.0,0.42000000000000004,2.1,2.4466019417475726,0.0
